s; W; 774699; 0; 9; 0.181152; 
s; W; 770051; 0; 2; 9999.95; 
s; W; 914298; 0; 1; 10000.1; 
s; W; 774708; 0; 8; 12187.4; 
s; W; 770050; 0; 4; 19999.9; 
s; W; 774716; 0; 4; 19999.9; 
s; W; 46529351; 0; 1; 20000; 
s; W; 774725; 0; 9; 20000.1; 
s; W; 770050; 0; 2; 24999.8; 
s; W; 915048; 0; 1; 25000; 
s; W; 770051; 0; 2; 29999.9; 
s; W; 46571440; 0; 1; 34999.8; 
s; W; 774734; 0; 10; 34999.8; 
s; W; 770050; 0; 2; 144999; 
s; W; 774744; 0; 10; 144999; 
s; W; 770051; 0; 2; 154999; 
s; W; 914665; 0; 1; 154999; 
s; W; 774754; 0; 10; 154999; 
s; W; 770050; 0; 2; 164999; 
s; W; 46542223; 0; 1; 164999; 
s; W; 774764; 0; 10; 164999; 
s; W; 774774; 0; 8; 184999; 
s; W; 770050; 0; 4; 194999; 
s; W; 774782; 0; 2; 194999; 
s; W; 914422; 0; 1; 194999; 
s; W; 46533582; 0; 1; 194999; 
s; W; 770051; 0; 2; 195186; 
s; W; 802662; 0; 1; 199999; 
s; W; 18921323; 0; 1; 199999; 
s; W; 774786; 0; 10; 199999; 
s; W; 770050; 0; 2; 234998; 
s; W; 774796; 0; 10; 234998; 
s; W; 770051; 0; 2; 244998; 
s; W; 914925; 0; 1; 244998; 
s; W; 774806; 0; 10; 244998; 
s; W; 770050; 0; 2; 249998; 
s; W; 914823; 0; 1; 249998; 
s; W; 774816; 0; 10; 249998; 
s; W; 770051; 0; 2; 374998; 
s; W; 774826; 0; 10; 374998; 
s; W; 770050; 0; 2; 384998; 
s; W; 915325; 0; 1; 384998; 
s; W; 774836; 0; 10; 384998; 
s; W; 770050; 0; 4; 514997; 
s; W; 774846; 0; 2; 514997; 
s; W; 46588316; 0; 1; 514997; 
s; W; 774855; 0; 9; 514997; 
s; W; 770051; 0; 2; 524997; 
s; W; 913798; 0; 1; 524997; 
s; W; 46319352; 0; 1; 524997; 
s; W; 770050; 0; 2; 564996; 
s; W; 774864; 0; 10; 564996; 
